,index,Importance
0,failures,0.14005318096629252
1,absences,0.06447837220754331
2,age,0.047966763320496916
3,Walc,0.04783035099422824
4,school_MS,0.04725273566126272
5,goout,0.042354218850399354
6,Medu,0.04173479523867956
7,Dalc,0.04081505658022649
8,Fedu,0.03936371608778283
9,health,0.03916074515365443
10,studytime,0.03815324150207005
11,higher_yes,0.037829481766678746
12,freetime,0.03527929972495593
13,famrel,0.03316577401149583
14,traveltime,0.021927554450851233
15,address_U,0.01982351356707001
16,sex_M,0.017682518702811244
17,famsup_yes,0.01748167520787172
18,schoolsup_yes,0.01648277222196841
19,reason_other,0.015914012953193644
20,nursery_yes,0.015035255139011829
21,reason_reputation,0.014275844777242737
22,Mjob_teacher,0.01391119100964317
23,internet_yes,0.01353801729188085
24,romantic_yes,0.013398066529759308
25,activities_yes,0.013021675239119712
26,famsize_LE3,0.012843171428755951
27,Mjob_other,0.01178932604253812
28,Fjob_services,0.0117078097540669
29,reason_home,0.011390874237556758
30,Fjob_other,0.01099266995714147
31,guardian_mother,0.010706716261714993
32,Fjob_teacher,0.01051321971980018
33,Mjob_services,0.009089214550348461
34,Pstatus_T,0.008301880946993596
35,Mjob_health,0.006070522347346368
36,paid_yes,0.004125217278846808
37,guardian_other,0.002552700912239053
38,Fjob_health,0.001986847406460625
